doc,seccion,corpus_type,chars,y1_ebi,y10_rep_v5
Auto_005_2018_Apertura_Caso003,HECHOS_Y_CONDUCTAS,B,18898,2.6682211858760825,0.0
Auto_005_2018_Apertura_Caso003,RECONOCIMIENTO,B,2425,0.0,0.7857142857142858
Auto_005_2018_Apertura_Caso003,PATRONES_MACROCRIMINALES,B,5855,0.9625668449197862,0.0
Auto_005_2018_Apertura_Caso003,RESUELVE,B,834,2.706766917293233,0.0
Auto_033_2021_Priorizacion_Subcasos,HECHOS_Y_CONDUCTAS,B,5287,1.325153374233129,0.0
Auto_033_2021_Priorizacion_Subcasos,CONSIDERACIONES,B,407,7.82608695652174,0.0
Auto_033_2021_Priorizacion_Subcasos,RECONOCIMIENTO,B,96898,1.100538374859146,0.19265463917525802
Auto_033_2021_Priorizacion_Subcasos,CALIFICACION_JURIDICA,B,2227,0.0,0.0
Auto_033_2021_Priorizacion_Subcasos,RESUELVE,B,1198,0.0,0.0
Auto_055_2022_Subcaso_Casanare,HECHOS_Y_CONDUCTAS,B,480379,0.6894244502489804,0.5618772563177005
Auto_055_2022_Subcaso_Casanare,RECONOCIMIENTO,B,41687,1.1048028233849931,0.4464285714285719
Auto_055_2022_Subcaso_Casanare,PATRONES_MACROCRIMINALES,B,299544,0.7413425623061177,0.7141901408450774
Auto_055_2022_Subcaso_Casanare,CALIFICACION_JURIDICA,B,1519967,0.9118958955681958,0.6427377504223569
Auto_055_2022_Subcaso_Casanare,CONSIDERACIONES,B,178744,0.23281596452328163,0.378158844765341
Auto_055_2022_Subcaso_Casanare,SANCIONES_PROPIAS,B,43039,0.8137669534781974,0.0
Auto_125_2021_Norte_Santander,HECHOS_Y_CONDUCTAS,B,8150,0.9257898603967671,0.5548611111111109
Auto_125_2021_Norte_Santander,RECONOCIMIENTO,B,67793,0.1560021152829191,0.5937992125984255
Auto_125_2021_Norte_Santander,CALIFICACION_JURIDICA,B,12035,0.26431718061674014,1.0
Auto_125_2021_Norte_Santander,SANCIONES_PROPIAS,B,7347,0.0,0.5312499999999999
Auto_SRVR_ADHC_03_julio_2023,HECHOS_Y_CONDUCTAS,B,633059,0.002695320922877884,0.2290182270091174
Auto_SRVR_ADHC_03_julio_2023,RECONOCIMIENTO,B,128714,0.00660414740457007,0.10845656192236612
Auto_SRVR_ADHC_03_julio_2023,RESUELVE,B,784,0.0,0.0
Auto_SRVR_ADHC_03_julio_2023,PATRONES_MACROCRIMINALES,B,1480446,0.012553120429339754,0.19118638355241163
Auto_SRVR_ADHC_03_julio_2023,CALIFICACION_JURIDICA,B,2642908,0.0058933120413672485,0.2381921424186443
Auto_SRVR_ADHC_03_julio_2023,CONSIDERACIONES,B,312442,0.0,0.3091511099899137
Auto_SRVR_ADHC_03_julio_2023,SANCIONES_PROPIAS,B,117597,0.0,0.09105876393110446
Auto_SUBD_062_2023_Antioquia_Montoya,HECHOS_Y_CONDUCTAS,B,338617,0.3630612665887369,0.19860323003055325
Auto_SUBD_062_2023_Antioquia_Montoya,CALIFICACION_JURIDICA,B,114163,0.39379117588340984,0.22343750000000037
Auto_SUBD_062_2023_Antioquia_Montoya,RECONOCIMIENTO,B,18321,0.22052067381316998,0.12837837837837834
Auto_SUBD_062_2023_Antioquia_Montoya,PATRONES_MACROCRIMINALES,B,1085049,0.540868926793202,0.36988206357215087
Auto_SUBD_062_2023_Antioquia_Montoya,CONSIDERACIONES,B,31657,0.5653198043123755,0.0
Auto_SUBD_062_2023_Antioquia_Montoya,SANCIONES_PROPIAS,B,81628,0.025815704553603443,0.2601632047477746
Auto_SUBD_062_2023_Antioquia_Montoya,RESUELVE,B,3634,0.3231597845601436,0.0
Auto_SUBD_081_2023_Subcaso_Huila,CUERPO,B,410,0.0,0.0
Auto_SUBD_081_2023_Subcaso_Huila,HECHOS_Y_CONDUCTAS,B,72497,0.5432036382011116,0.17700945626477554
Auto_SUBD_081_2023_Subcaso_Huila,RECONOCIMIENTO,B,2629141,0.4201163064548271,0.35836665686560026
Auto_SUBD_081_2023_Subcaso_Huila,CALIFICACION_JURIDICA,B,156312,0.3904117716862466,0.29289504716981063
Auto_SUBD_081_2023_Subcaso_Huila,PATRONES_MACROCRIMINALES,B,338961,0.5807368018501995,0.4478096676737157
Auto_SUBD_081_2023_Subcaso_Huila,RESUELVE,B,7967,1.0641891891891893,0.6964285714285714
RC-04-2024-dabeiba,HECHOS_Y_CONDUCTAS,B,113508,0.27862859401244944,0.2954923273657283
RC-04-2024-dabeiba,SANCIONES_PROPIAS,B,202826,0.05046115892461664,0.36006233303650775
RC-04-2024-dabeiba,RECONOCIMIENTO,B,174442,0.2932532583695374,0.39867439933719734
RC-04-2024-dabeiba,CONSIDERACIONES,B,3552,0.0,0.34210526315789475
RC-04-2024-dabeiba,CALIFICACION_JURIDICA,B,20069,0.10347801092267894,0.33019801980198005
RC-04-2024-dabeiba,PATRONES_MACROCRIMINALES,B,62300,0.46947927152923946,0.22769121813031187
RC_01_2022_Norte_Santander,HECHOS_Y_CONDUCTAS,B,73862,1.359206702000342,0.3463414634146346
RC_01_2022_Norte_Santander,RECONOCIMIENTO,B,359937,0.5881831085876508,0.5259405940594125
RC_01_2022_Norte_Santander,SANCIONES_PROPIAS,B,237436,0.17526777020447906,0.43097107438016385
