doc,seccion,chars,corpus_type,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep_v5
Auto_005_2018_Apertura_Caso003,HECHOS_Y_CONDUCTAS,18898,B,2.6682211858760825,1.0,0.8021978021978025,0.15313223056211167,0.2194179892539978,0.0
Auto_005_2018_Apertura_Caso003,RECONOCIMIENTO,2425,B,0.0,1.0,0.0,0.1556104783876704,0.2258601188659668,0.7857142857142858
Auto_005_2018_Apertura_Caso003,PATRONES_MACROCRIMINALES,5855,B,0.9625668449197862,0.9681481481481483,0.5595238095238096,0.12718273134115055,0.18541032075881958,0.0
Auto_005_2018_Apertura_Caso003,RESUELVE,834,B,2.706766917293233,0.37142857142857144,0.37037037037037035,0.10631622510717254,0.18251538276672363,0.0
Auto_033_2021_Priorizacion_Subcasos,HECHOS_Y_CONDUCTAS,5287,B,1.325153374233129,1.0,0.5333333333333333,0.14273560593956558,0.20819205045700073,0.0
Auto_033_2021_Priorizacion_Subcasos,CONSIDERACIONES,407,B,7.82608695652174,1.0,0.6666666666666667,0.18591034010878016,0.19044697284698486,0.0
Auto_033_2021_Priorizacion_Subcasos,RECONOCIMIENTO,96898,B,1.100538374859146,1.0,0.35953608247422647,0.20292602628419376,0.27168625593185425,0.192654639175258
Auto_033_2021_Priorizacion_Subcasos,CALIFICACION_JURIDICA,2227,B,0.0,1.0,0.21794871794871798,0.1312919663198575,0.1890655755996704,0.0
Auto_033_2021_Priorizacion_Subcasos,RESUELVE,1198,B,0.0,1.0,0.16666666666666666,0.14448997086330306,0.21658998727798462,0.0
Auto_055_2022_Subcaso_Casanare,HECHOS_Y_CONDUCTAS,480379,B,0.6894244502489804,1.0,0.3798209987966328,0.14189757126703373,0.21990954875946045,0.5618772563177005
Auto_055_2022_Subcaso_Casanare,RECONOCIMIENTO,41687,B,1.1048028233849931,1.0,0.40168970814132116,0.1672783703855465,0.19271552562713623,0.4464285714285719
Auto_055_2022_Subcaso_Casanare,PATRONES_MACROCRIMINALES,299544,B,0.7413425623061177,1.0,0.3738849765258234,0.14126060975965526,0.18409770727157593,0.7141901408450774
Auto_055_2022_Subcaso_Casanare,CALIFICACION_JURIDICA,1519967,B,0.9118958955681958,0.0,0.0,0.1450259725898878,0.19921153783798218,0.6427377504223569
Auto_055_2022_Subcaso_Casanare,CONSIDERACIONES,178744,B,0.2328159645232816,1.0,0.2378910950661851,0.14398405477545673,0.19056057929992676,0.378158844765341
Auto_055_2022_Subcaso_Casanare,SANCIONES_PROPIAS,43039,B,0.8137669534781974,1.0,0.3847446236559141,0.16061254708812878,0.20154428482055664,0.0
