corpus,corpus_type,y2_sa,y4_nv,y10_rep,y8_mafapo_cs,y9_cidh_cs,y2_sa_z,y4_nv_z,y10_rep_z,y8_mafapo_cs_z,y9_cidh_cs_z,DIS,IEI
A,A-CSJ,1.0,0.1905,0.0,0.2162932157516479,0.2497575879096985,0.6626293889725776,0.4139533510416291,0.38426635147465527,0.6970981032878677,0.3906746846608135,0.5615240535625757,0.5487543405483926
A,A-CSJ,0.9187,0.0,0.0,0.2160991430282592,0.2350721359252929,0.5944286679311276,0.2937985525863841,0.38426635147465527,0.6957729001521049,0.27626851196695046,0.4955996217387325,0.49537058529829175
A,A-CSJ,1.0,0.2333,0.0,0.1997628808021545,0.2472068071365356,0.6626293889725776,0.4430695140387394,0.38426635147465527,0.5743464262419078,0.36945634136938993,0.5717147106115643,0.5088266256732996
A,A-CSJ,1.0,0.8333,1.0,0.2051552534103393,0.265583872795105,0.6626293889725776,0.8082318895048122,0.9740581440212214,0.6162766649958437,0.5285633371717945,0.5225840042607199,0.528655843754863
A,A-CSJ,1.0,0.7857,0.0952,0.1494669318199157,0.1958874464035034,0.6626293889725776,0.786891939996019,0.47965239263573345,0.2100054387648088,0.08732603825626017,0.6634367473482887,0.39175961769079315
A,A-CSJ,1.0,0.45,0.325,0.1965851783752441,0.2470471858978271,0.6626293889725776,0.592292529106936,0.7026765944004509,0.5490841352553613,0.36814423658387113,0.5284196930076944,0.4733461080527945
A,A-CSJ,1.0,0.2778,0.0,0.2337839007377624,0.2788824439048767,0.6626293889725776,0.4737597645567195,0.38426635147465527,0.8019371090792016,0.6419814654845102,0.5824562982928574,0.6506609521188713
A,A-CE,1.0,0.0324,0.0688,0.313835859298706,0.3451180458068847,0.6626293889725776,0.3128189301598002,0.4527418264719622,0.9817295166262338,0.9489656933614716,0.5055843637547435,0.7210548367370339
A,A-CE,1.0,0.1613,0.4879,0.17938232421875,0.2258766889572143,0.6626293889725776,0.39441605468188495,0.8216391484771174,0.4112837635611365,0.2162330107047224,0.42347416073592664,0.32147210336239
A,A-CE,1.0,0.4762,0.1607,0.1443036794662475,0.1898087263107299,0.6626293889725776,0.6097484814143598,0.5465954335773573,0.18367276631339446,0.07166562898982523,0.5813536245622208,0.3217366276457716
A,A-CE,1.0,0.7333,0.0,0.1972742080688476,0.2412400245666504,0.6626293889725776,0.7614567630863144,0.38426635147465527,0.5545879890819749,0.32185766340192284,0.6831502477782155,0.5719882493357233
A,A-CE,1.0,0.0,0.0,0.217328131198883,0.2611383199691772,0.6626293889725776,0.2937985525863841,0.38426635147465527,0.7041093508896059,0.48935093628303195,0.51946987410324,0.5409048279196333
A,A-CSJ,1.0,0.925,0.0,0.1986026763916015,0.2745041847229004,0.6626293889725776,0.8446678119423953,0.38426635147465527,0.5651607319676254,0.6057233062527848,0.7122741148778439,0.6532646001298936
A,A-CSJ,1.0,0.3232,0.0,0.2375556826591491,0.3009083867073059,0.6626293889725776,0.5052747407964696,0.38426635147465527,0.8205781865149431,0.7960441144422764,0.5934865399767699,0.6958766030728718
A,A-CSJ,0.65,0.0,0.0,0.1993750929832458,0.2276062369346618,0.3577413807733962,0.2937985525863841,0.38426635147465527,0.5712815715986567,0.2267627341633884,0.4127590712335265,0.44189746474387254
A,A-CE,1.0,0.5641,0.0,0.4045480489730835,0.4196357131004333,0.6626293889725776,0.6660805944089763,0.38426635147465527,0.9990071377445751,0.996143876431982,0.6497685887411473,0.8385481518043107
A,A-CE,1.0,0.5,0.4643,0.2310335636138916,0.2749361991882324,0.6626293889725776,0.6253666662018054,0.8070261190863594,0.7874483803913123,0.6093606599654081,0.5086907835851262,0.5924155078632203
A,A-CE,1.0,0.0778,0.6,0.2087166905403137,0.2605551481246948,0.6626293889725776,0.34055631212303095,0.8794016940156805,0.6430907686793209,0.4842063662292919,0.3872944871787588,0.4311817815112423
A,A-CSJ,0.34,0.3333,0.0,0.1582309603691101,0.2016675472259521,0.1542863250172297,0.5122889138077125,0.38426635147465527,0.2607980332691023,0.1050224845403073,0.41802142814633314,0.3635027667092443
A,A-CSJ,1.0,0.3854,0.0,0.196719229221344,0.2595148086547851,0.6626293889725776,0.5483337665408384,0.38426635147465527,0.5501558953923203,0.4750378094324746,0.608557198987299,0.5477922966140856
A,A-CSJ,0.52,0.3333,0.0,0.2769802808761596,0.2975323796272278,0.25859950488112804,0.5122889138077125,0.38426635147465527,0.942331035609157,0.7760054661402298,0.4545310410986976,0.7362359138482479
A,A-CE,1.0,0.1111,0.0,0.2060458064079284,0.229725956916809,0.6626293889725776,0.361633274551659,0.38426635147465527,0.6230555826003326,0.24015489027221562,0.5432120267910862,0.47965548030754324
A,A-CE,0.6262,0.1296,0.0,0.1812694668769836,0.2115870714187622,0.3383008702153667,0.37358334542809785,0.38426635147465527,0.42611777306651727,0.14278513682690877,0.43387957003281596,0.3942408140007562
A,A-CE,0.5417,0.0,0.0,0.230901300907135,0.2882275581359863,0.27385974142526576,0.2937985525863841,0.38426635147465527,0.7867324950422264,0.7138113903474983,0.3834004974616808,0.6147150191859438
A,A-CSJ,1.0,0.3214,0.1607,0.1237969398498535,0.1768851280212402,0.6626293889725776,0.504024392668631,0.5465954335773573,0.10395775350567116,0.04663099677536282,0.5443501935012158,0.26239842453374373
